,precision,recall,f1-score,support
Triangle_0,0.0,0.0,0.0,0.0
Triangle_4,0.0,0.0,0.0,8.0
Triangle_5,0.9186991869918699,0.9495798319327731,0.9338842975206612,119.0
Star_3,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0
Star_2,0.0,0.0,0.0,2.0
Star_0,0.0,0.0,0.0,3.0
Star_4,0.5217391304347826,0.96,0.676056338028169,50.0
Star_5,0.6666666666666666,0.08333333333333333,0.14814814814814814,24.0
Wave_3,0.0,0.0,0.0,22.0
Wave_2,0.0,0.0,0.0,3.0
Wave_0,0.0,0.0,0.0,0.0
Wave_4,0.7936507936507936,0.970873786407767,0.8733624454148472,103.0
Circle_3,0.0,0.0,0.0,15.0
Circle_2,0.0,0.0,0.0,0.0
Circle_0,0.0,0.0,0.0,0.0
Circle_4,0.8557692307692307,0.978021978021978,0.9128205128205128,91.0
Square_0,0.0,0.0,0.0,1.0
Square_4,0.0,0.0,0.0,10.0
Square_5,0.9007633587786259,0.9833333333333333,0.9402390438247012,120.0
Overlapped pencils_3,0.0,0.0,0.0,2.0
Overlapped pencils_2,0.0,0.0,0.0,1.0
Overlapped pencils_0,0.0,0.0,0.0,4.0
Overlapped pencils_4,0.0,0.0,0.0,8.0
Overlapped pencils_6,0.4189189189189189,0.96875,0.5849056603773585,32.0
Overlapped pencils_5,0.3333333333333333,0.03571428571428571,0.06451612903225806,28.0
Overlapped circle_2,0.0,0.0,0.0,0.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_4,0.0,0.0,0.0,1.0
Overlapped circle_6,0.6875,0.9565217391304348,0.8,69.0
Overlapped circle_5,0.0,0.0,0.0,24.0
Diagonal_3,0.0,0.0,0.0,0.0
Diagonal_0,0.0,0.0,0.0,0.0
Diagonal_4,0.0,0.0,0.0,13.0
Diagonal_5,0.8365384615384616,1.0,0.9109947643979057,87.0
accuracy,0.763953488372093,0.763953488372093,0.763953488372093,0.763953488372093
macro avg,0.22353663963968676,0.23504092487554828,0.20666898592302188,860.0
weighted avg,0.6683099373633605,0.763953488372093,0.6892753608923543,860.0
