,precision,recall,f1-score,support
Triangle_0,0.0,0.0,0.0,0.0
Triangle_4,0.07692307692307693,0.25,0.11764705882352941,8.0
Triangle_5,0.851063829787234,0.33613445378151263,0.4819277108433735,119.0
Star_3,0.2857142857142857,0.10526315789473684,0.15384615384615385,19.0
Star_2,0.0,0.0,0.0,2.0
Star_0,0.0,0.0,0.0,3.0
Star_4,0.3333333333333333,0.06,0.1016949152542373,50.0
Star_5,0.0,0.0,0.0,24.0
Wave_3,0.2,0.045454545454545456,0.07407407407407407,22.0
Wave_2,0.0,0.0,0.0,3.0
Wave_0,0.0,0.0,0.0,0.0
Wave_4,0.8,0.038834951456310676,0.07407407407407407,103.0
Circle_3,0.07446808510638298,0.4666666666666667,0.12844036697247707,15.0
Circle_2,0.0,0.0,0.0,0.0
Circle_0,0.0,0.0,0.0,0.0
Circle_4,0.0,0.0,0.0,91.0
Square_0,0.0,0.0,0.0,1.0
Square_4,0.027624309392265192,1.0,0.053763440860215055,10.0
Square_5,0.0,0.0,0.0,120.0
Overlapped pencils_3,0.0,0.0,0.0,2.0
Overlapped pencils_2,0.0,0.0,0.0,1.0
Overlapped pencils_0,0.01282051282051282,0.25,0.024390243902439025,4.0
Overlapped pencils_4,0.0,0.0,0.0,8.0
Overlapped pencils_6,0.12631578947368421,0.375,0.1889763779527559,32.0
Overlapped pencils_5,0.14285714285714285,0.07142857142857142,0.09523809523809523,28.0
Overlapped circle_2,0.0,0.0,0.0,0.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_4,0.0,0.0,0.0,1.0
Overlapped circle_6,0.7,0.10144927536231885,0.17721518987341772,69.0
Overlapped circle_5,0.125,0.16666666666666666,0.14285714285714285,24.0
Diagonal_3,0.0,0.0,0.0,0.0
Diagonal_0,0.0,0.0,0.0,0.0
Diagonal_4,0.15789473684210525,0.23076923076923078,0.1875,13.0
Diagonal_5,1.0,0.10344827586206896,0.1875,87.0
accuracy,0.12441860465116279,0.12441860465116279,0.12441860465116279,0.12441860465116279
macro avg,0.1445298559485301,0.10591517045125379,0.06438661307564662,860.0
weighted avg,0.4193331415339642,0.12441860465116279,0.14097649672766152,860.0
