,precision,recall,f1-score,support
Triangle_0,0.0,0.0,0.0,0.0
Triangle_4,0.0,0.0,0.0,8.0
Triangle_5,0.9262295081967213,0.9495798319327731,0.9377593360995851,119.0
Star_3,0.3,0.47368421052631576,0.3673469387755102,19.0
Star_2,0.0,0.0,0.0,2.0
Star_0,0.0,0.0,0.0,3.0
Star_4,0.5094339622641509,0.54,0.5242718446601942,50.0
Star_5,0.0,0.0,0.0,24.0
Wave_3,0.0,0.0,0.0,23.0
Wave_2,0.0,0.0,0.0,2.0
Wave_0,0.0,0.0,0.0,0.0
Wave_4,0.5698324022346368,0.9902912621359223,0.723404255319149,103.0
Circle_3,0.0,0.0,0.0,15.0
Circle_2,0.0,0.0,0.0,0.0
Circle_0,0.0,0.0,0.0,1.0
Circle_4,0.5986842105263158,1.0,0.7489711934156379,91.0
Square_0,0.0,0.0,0.0,0.0
Square_4,0.0,0.0,0.0,11.0
Square_5,0.904,0.9416666666666667,0.9224489795918367,120.0
Overlapped pencils_3,0.0,0.0,0.0,2.0
Overlapped pencils_2,0.0,0.0,0.0,0.0
Overlapped pencils_0,0.0,0.0,0.0,4.0
Overlapped pencils_4,0.0,0.0,0.0,8.0
Overlapped pencils_6,0.6666666666666666,0.24242424242424243,0.35555555555555557,33.0
Overlapped pencils_5,1.0,0.03333333333333333,0.06451612903225806,30.0
Overlapped circle_2,0.0,0.0,0.0,0.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_4,0.0,0.0,0.0,1.0
Overlapped circle_6,0.7045454545454546,0.5,0.5849056603773585,62.0
Overlapped circle_5,0.0,0.0,0.0,28.0
Diagonal_3,0.0,0.0,0.0,0.0
Diagonal_0,0.0,0.0,0.0,0.0
Diagonal_4,0.0,0.0,0.0,16.0
Diagonal_5,0.6268656716417911,1.0,0.7706422018348624,84.0
accuracy,0.6732558139534883,0.6732558139534883,0.6732558139534883,0.6732558139534883
macro avg,0.20018405517869814,0.1962052807946839,0.1764653557253514,860.0
weighted avg,0.5946331916004748,0.6732558139534883,0.5962957588571356,860.0
