,precision,recall,f1-score,support
Triangle_0,0.0,0.0,0.0,1.0
Triangle_4,0.0,0.0,0.0,8.0
Triangle_5,0.9285714285714286,0.9629629629629629,0.9454545454545454,108.0
Star_3,0.3333333333333333,0.3,0.3157894736842105,20.0
Star_2,0.0,0.0,0.0,2.0
Star_0,0.0,0.0,0.0,3.0
Star_4,0.5125,0.82,0.6307692307692307,50.0
Star_5,0.0,0.0,0.0,20.0
Wave_3,0.4,0.18181818181818182,0.25,22.0
Wave_2,0.0,0.0,0.0,1.0
Wave_0,0.0,0.0,0.0,0.0
Wave_4,0.8144329896907216,0.9080459770114943,0.8586956521739131,87.0
Circle_3,1.0,0.045454545454545456,0.08695652173913043,22.0
Circle_2,0.0,0.0,0.0,1.0
Circle_0,0.8053097345132744,1.0,0.8921568627450981,91.0
Circle_4,1.0,0.1111111111111111,0.2,9.0
Square_0,0.9137931034482759,0.9814814814814815,0.9464285714285714,108.0
Square_4,0.0,0.0,0.0,2.0
Square_5,0.0,0.0,0.0,0.0
Overlapped pencils_3,0.0,0.0,0.0,2.0
Overlapped pencils_2,1.0,0.18181818181818182,0.3076923076923077,11.0
Overlapped pencils_0,0.5138888888888888,0.8222222222222222,0.6324786324786325,45.0
Overlapped pencils_4,0.25,0.14285714285714285,0.18181818181818182,28.0
Overlapped pencils_6,0.0,0.0,0.0,1.0
Overlapped pencils_5,0.0,0.0,0.0,2.0
Overlapped circle_2,0.719626168224299,1.0,0.8369565217391305,77.0
Overlapped circle_0,0.5,0.037037037037037035,0.06896551724137931,27.0
Overlapped circle_4,0.0,0.0,0.0,0.0
Overlapped circle_6,1.0,1.0,1.0,1.0
Overlapped circle_5,1.0,0.07142857142857142,0.13333333333333333,14.0
Diagonal_3,0.8348623853211009,0.9479166666666666,0.8878048780487805,96.0
Diagonal_0,0.0,0.0,0.0,0.0
Diagonal_4,0.0,0.0,0.0,0.0
Diagonal_5,0.0,0.0,0.0,0.0
accuracy,0.7532013969732246,0.7532013969732246,0.7532013969732246,0.7532013969732246
macro avg,0.3684211185879801,0.27982806123145876,0.26986177148077783,859.0
weighted avg,0.7222222305153576,0.7532013969732246,0.6968849667037956,859.0
