,precision,recall,f1-score,support
Circle,1.0,0.9917355371900827,0.995850622406639,121.0
Diagonal,0.9459459459459459,0.9905660377358491,0.967741935483871,106.0
Overlapped circle,0.9830508474576272,0.9914529914529915,0.9872340425531915,117.0
Overlapped pencils,0.98,1.0,0.98989898989899,98.0
Square,0.991869918699187,1.0,0.9959183673469387,122.0
Star,1.0,0.9886363636363636,0.9942857142857143,88.0
Triangle,1.0,0.9047619047619048,0.95,105.0
Wave,0.9716981132075472,1.0,0.9856459330143541,103.0
accuracy,0.9837209302325581,0.9837209302325581,0.9837209302325581,0.9837209302325581
macro avg,0.9840706031637885,0.983394104347149,0.9833219506237123,860.0
weighted avg,0.9842095990284776,0.9837209302325581,0.9835648479479835,860.0
