,precision,recall,f1-score,support
Circle_3,0.16666666666666666,0.038461538461538464,0.0625,26.0
Circle_4,0.7230769230769231,0.94,0.8173913043478261,100.0
Diagonal_0,0.0,0.0,0.0,1.0
Diagonal_4,0.16666666666666666,0.13333333333333333,0.14814814814814814,15.0
Diagonal_5,0.8229166666666666,0.79,0.8061224489795918,100.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_5,0.35714285714285715,0.14705882352941177,0.20833333333333334,34.0
Overlapped circle_6,0.7065217391304348,0.7647058823529411,0.7344632768361582,85.0
Overlapped pencils_0,0.0,0.0,0.0,2.0
Overlapped pencils_3,0.0,0.0,0.0,1.0
Overlapped pencils_4,0.0,0.0,0.0,6.0
Overlapped pencils_5,0.3333333333333333,0.22580645161290322,0.2692307692307692,31.0
Overlapped pencils_6,0.52,0.6046511627906976,0.5591397849462365,43.0
Square_4,0.0,0.0,0.0,9.0
Square_5,0.9159663865546218,0.8861788617886179,0.9008264462809917,123.0
Star_0,0.0,0.0,0.0,3.0
Star_3,0.4,0.16666666666666666,0.23529411764705882,24.0
Star_4,0.3902439024390244,0.47058823529411764,0.4266666666666667,34.0
Star_5,0.16666666666666666,0.06666666666666667,0.09523809523809523,15.0
Triangle_0,0.0,0.0,0.0,1.0
Triangle_4,0.1,0.09090909090909091,0.09523809523809523,11.0
Triangle_5,0.7941176470588235,0.8526315789473684,0.8223350253807107,95.0
Wave_3,0.14285714285714285,0.043478260869565216,0.06666666666666667,23.0
Wave_4,0.6907216494845361,0.8701298701298701,0.7701149425287356,77.0
micro avg,0.6607565011820331,0.65,0.6553341148886284,860.0
macro avg,0.30820409365601514,0.2954694343063662,0.2924045467278785,860.0
weighted avg,0.6248463332624731,0.65,0.6284721560422963,860.0
