,precision,recall,f1-score,support
Circle_3,0.1935483870967742,0.23076923076923078,0.21052631578947367,26.0
Circle_4,0.7553191489361702,0.71,0.7319587628865979,100.0
Diagonal_0,0.0,0.0,0.0,1.0
Diagonal_4,0.0,0.0,0.0,15.0
Diagonal_5,0.8598130841121495,0.92,0.8888888888888888,100.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_5,0.28205128205128205,0.3235294117647059,0.3013698630136986,34.0
Overlapped circle_6,0.632183908045977,0.6470588235294118,0.6395348837209303,85.0
Overlapped pencils_0,0.0,0.0,0.0,2.0
Overlapped pencils_3,0.0,0.0,0.0,1.0
Overlapped pencils_4,0.0,0.0,0.0,6.0
Overlapped pencils_5,0.42857142857142855,0.3870967741935484,0.4067796610169492,31.0
Overlapped pencils_6,0.5961538461538461,0.7209302325581395,0.6526315789473685,43.0
Square_4,0.0,0.0,0.0,9.0
Square_5,0.9224806201550387,0.967479674796748,0.9444444444444444,123.0
Star_0,0.0,0.0,0.0,3.0
Star_3,0.3333333333333333,0.041666666666666664,0.07407407407407407,24.0
Star_4,0.2777777777777778,0.5882352941176471,0.37735849056603776,34.0
Star_5,0.23529411764705882,0.26666666666666666,0.25,15.0
Triangle_0,0.0,0.0,0.0,1.0
Triangle_4,0.0,0.0,0.0,11.0
Triangle_5,0.88,0.9263157894736842,0.9025641025641026,95.0
Wave_3,0.4375,0.30434782608695654,0.358974358974359,23.0
Wave_4,0.7976190476190477,0.8701298701298701,0.8322981366459627,77.0
accuracy,0.6790697674418604,0.6790697674418604,0.6790697674418604,0.6790697674418604
macro avg,0.3179852492291619,0.32934276086471975,0.31547514839720364,860.0
weighted avg,0.6491968906607165,0.6790697674418604,0.6575004731145475,860.0
