,precision,recall,f1-score,support
Circle_0,0.0,0.0,0.0,1.0
Circle_3,0.0,0.0,0.0,22.0
Circle_4,0.7413793103448276,0.945054945054945,0.8309178743961353,91.0
Diagonal_0,0.0,0.0,0.0,1.0
Diagonal_4,0.0,0.0,0.0,14.0
Diagonal_5,0.7833333333333333,0.9791666666666666,0.8703703703703703,96.0
Overlapped circle_0,0.0,0.0,0.0,1.0
Overlapped circle_4,0.0,0.0,0.0,2.0
Overlapped circle_5,0.0,0.0,0.0,27.0
Overlapped circle_6,0.6666666666666666,0.9090909090909091,0.7692307692307693,77.0
Overlapped pencils_0,0.0,0.0,0.0,2.0
Overlapped pencils_3,0.0,0.0,0.0,2.0
Overlapped pencils_4,0.0,0.0,0.0,11.0
Overlapped pencils_5,0.5,0.13793103448275862,0.21621621621621623,29.0
Overlapped pencils_6,0.5441176470588235,0.8222222222222222,0.6548672566371682,45.0
Square_4,0.0,0.0,0.0,9.0
Square_5,0.9043478260869565,0.9629629629629629,0.9327354260089686,108.0
Star_0,0.0,0.0,0.0,3.0
Star_2,0.0,0.0,0.0,2.0
Star_3,1.0,0.05,0.09523809523809523,20.0
Star_4,0.5584415584415584,0.86,0.6771653543307087,50.0
Star_5,0.0,0.0,0.0,20.0
Triangle_4,0.0,0.0,0.0,8.0
Triangle_5,0.8062015503875969,0.9629629629629629,0.8776371308016878,108.0
Wave_2,0.0,0.0,0.0,1.0
Wave_3,0.0,0.0,0.0,22.0
Wave_4,0.6890756302521008,0.9425287356321839,0.7961165048543689,87.0
accuracy,0.7275902211874272,0.7275902211874272,0.7275902211874272,0.7275902211874272
macro avg,0.2664282786137728,0.28044149774354116,0.2489072221512773,859.0
weighted avg,0.6118686089704565,0.7275902211874272,0.6457328869086081,859.0
